,created_at,tweet_content,keyword,user_location,entities
56,2021-05-04 12:38:21,eu amo que o nubank só aumenta o limite de quem nem emprego tem,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'danilopaulodf', 'name': 'blessed bacon', 'id': 2352330198, 'id_str': '2352330198', 'indices': [3, 17]}], 'symbols': []}"
57,2021-05-04 12:38:58,nubank aumenta meu limite pra 5 mil e eu digo se esperava ou nao,['Nubank'],hogwarts,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
58,2021-05-04 12:39:07,todo mundo ganhando aumento no limite da nubank e eu tendo o pedido de aumento recusado 🤡🤡🤡,['Nubank'],rio de janeiro,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
60,2021-05-04 12:39:21,"é golpe seguido de golpe Nubank e todos os outros cartões de crédito.
No fundo todos nós precisamos aprender nas aulas da Nathalia Arcuri",['Nubank'],"Campina Grande, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
61,2021-05-04 12:39:28,"@gabriellima_004 Por isso q eu prefiro xiaomi zz , a câmera pode perder pro iPhone mais a bateria é o dia todo kkkkkkkk",['Xiaomi'],"Contagem, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'gabriellima_004', 'name': 'lima 🔺', 'id': 1172164441892413442, 'id_str': '1172164441892413442', 'indices': [0, 16]}], 'symbols': []}"
62,2021-05-04 12:39:49,"aproveitando que o @nubank na nos TT, bora cobrar o apple pay já que foi promessa de fim de ano",['Nubank'],Vitória da Conquista,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [19, 26]}], 'symbols': []}"
63,2021-05-04 12:39:49,@fridasdaughter E eu aqui também sigo na mó paz sendo testemunha de Xiaomi! 🗣️,['Xiaomi'],Ilha de Lesbos,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'fridasdaughter', 'name': 'lu', 'id': 1275661284055400450, 'id_str': '1275661284055400450', 'indices': [0, 15]}], 'symbols': []}"
64,2021-05-04 12:39:55,"A quem interessar possa, estou com um novo projeto: a @HugMeClub, loja virtual que trabalha com produtos nacionais e importados de diversos setores. Originais de marcas renomadas como Calvin Klein, Tommy Hilfiger, Michael Kors, Carter's, Nike, Puma, dentre outras.",['Nike'],"Belo Horizonte, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'ramaodamassa', 'name': 'Ramon', 'id': 55749053, 'id_str': '55749053', 'indices': [3, 16]}, {'screen_name': 'HugMeClub', 'name': 'Hug Me Club', 'id': 177844326, 'id_str': '177844326', 'indices': [72, 82]}], 'symbols': []}"
65,2021-05-04 12:39:56,"Alô @nubank se tá rolando um aumento de limite, lembra de mim! Quelu mutuuuu",['Nubank'],Rio de Janeiro,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [4, 11]}], 'symbols': []}"
66,2021-05-04 12:40:01,E eu que tenho Nubank a anos e meu limite nunca aumentou nem 1 centavo 🤡🤡,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
67,2021-05-04 12:40:06,"entao Nubank aumentou varios limites ate de quem nem ta com renda e eu que to com renda e pago tudo em dia, nao tenho, fdp",['Nubank'],Red Room,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
68,2021-05-04 12:40:17,sou datilografa virgem e gosto de coca cola,['Coca cola'],Pará,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
69,2021-05-04 12:40:19,@P0ssuidao xiaomi redmi note 10!!! (igual ao meu),['Xiaomi'],São Paulo - BR | Porto - PT,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'P0ssuidao', 'name': 'João Freire', 'id': 1888938691, 'id_str': '1888938691', 'indices': [0, 10]}], 'symbols': []}"
