,created_at,tweet_content,keyword,user_location,entities
338,2021-05-10 16:01:58,@jjkpjmluvx isso é na shein?,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'jjkpjmluvx', 'name': 'raissa BY JIMIN 🧈', 'id': 819987668666908674, 'id_str': '819987668666908674', 'indices': [0, 11]}], 'symbols': []}"
339,2021-05-10 16:02:21,@renjunglittr e o nubank q não me deixa ter um cartão 🤡,['Nubank'],仁俊 ♥︎ 锟 ♥︎ 扬扬,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'renjunglittr', 'name': 'ʀ ʜ ᴀ ʏ ☀️ THE MOON', 'id': 942929914843549696, 'id_str': '942929914843549696', 'indices': [0, 13]}], 'symbols': []}"
340,2021-05-10 16:02:26,"@StarlyChili confesso que ja esperava
nike ta perdendo muito espaço de lá e só ta focando nos clubes do topo",['Nike'],longe ,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'StarlyChili', 'name': '•Sulenha Finalista•🇨🇴|🇦🇶🇵🇪🇳🇪🇪🇪🇵🇹|•', 'id': 1143852006613880833, 'id_str': '1143852006613880833', 'indices': [0, 12]}], 'symbols': []}"
341,2021-05-10 16:02:36,@diegosudariop Os nike shox que eu tive todos 4 mola.,['Nike'],"Parobé, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'diegosudariop', 'name': '🇲🇨🇪🇦Parça do Neymar🇪🇦 🇲🇨', 'id': 3070642708, 'id_str': '3070642708', 'indices': [0, 14]}], 'symbols': []}"
342,2021-05-10 16:02:38,shein obg por tudo,['SHEIN'],maclaren's pub,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
344,2021-05-10 16:02:48,infelizmente não é o flamengo,[],"Rio de Janeiro, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'xyurix25', 'name': 'y u r i', 'id': 1287191655322464257, 'id_str': '1287191655322464257', 'indices': [3, 12]}], 'symbols': []}"
345,2021-05-10 16:02:56,@arohadorameira @arohamaknae Eu comprei os meus na shein amg,['SHEIN'],"Salvador, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'arohadorameira', 'name': '𝓛𝓪𝓻𝓲🌻|𝖠𝖽𝗏𝗈𝗀𝖺𝖽𝖺 𝖽𝗈 𝖤𝗎𝗇𝗐𝗈𝗈|🐰', 'id': 1258901868442419203, 'id_str': '1258901868442419203', 'indices': [0, 15]}, {'screen_name': 'arohamaknae', 'name': 'ially is a proud roha 🐅', 'id': 1360716448923062275, 'id_str': '1360716448923062275', 'indices': [16, 28]}], 'symbols': []}"
347,2021-05-10 16:03:00,Meu vô tentando treme minhas meia nova da Nike 🤣,['Nike'],"Porto Alegre, Restinga","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
348,2021-05-10 16:03:22,Comprei uma coca cola pra ver se passa essa ressaca,['Coca cola'],Velho eu teamo muito ,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
349,2021-05-10 16:03:37,preciso tomar uma coca cola 🥴,['Coca cola'],🌈,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
350,2021-05-10 16:03:39,"cancelei o iphone e vou comprar um xiaomi memo, fds",['Xiaomi'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
351,2021-05-10 16:03:42,"gastei até o que eu não tinha na Shein, e agora tô com medo de ser taxada, old 😞😭😭😭😔",['SHEIN'],"Bahia, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
352,2021-05-10 16:03:45,roupas da shein cheguem logo ei quero tirar fotinhas,['SHEIN'],raven | chalé 6 | intj,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
353,2021-05-10 16:03:51,"na minha opinião as faturas do nubank são muito confusas

se você paga uma fatura anterior, o pagamento dela aparece na próxima fatura",['Nubank'],013,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
354,2021-05-10 16:03:54,45 min que tô no telefone com o Nubank e resolvi um total de 0 coisas 🤡😡🤯,['Nubank'],"Brasília, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
355,2021-05-10 16:04:02,nunca mais tomo coca cola na minha vida eu tô passando muito mal com dor no estômago,['Coca cola'],eve,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
356,2021-05-10 16:04:10,Hoje é só miojo e coca cola 🤢🤮,['Coca cola'],021,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
357,2021-05-10 16:04:22,Nike e do nada adidas fds ahah,['Nike'],"Aveiro, Portugal","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
358,2021-05-10 16:04:31,imagina realmente ficar puto com quem usa nike e adidas junto,['Nike'],sp,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
359,2021-05-10 16:04:34,eu uso tênis da nike e calça da adidas quero que se foda,['Nike'],sp,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
361,2021-05-10 16:04:44,ei seria massa se o Flamengo voltasse com a Nike né,['Nike'],"Delmiro Gouveia, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
362,2021-05-10 16:04:56,"Eu tô fodido com a shein 🤦
Agora meu status é
Salário em 
50% no meu ap
50% em compras na shein",['SHEIN'],Brasil,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
363,2021-05-10 16:05:03,@futebol_info @mvicca @AtaqueMarketing Como a nike caiu hein? Q coisa boa,['Nike'],Allianz Parque,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'futebol_info', 'name': 'Planeta do Futebol 🌎', 'id': 193500696, 'id_str': '193500696', 'indices': [0, 13]}, {'screen_name': 'mvicca', 'name': 'Marcelo Santa Vicca', 'id': 419582551, 'id_str': '419582551', 'indices': [14, 21]}, {'screen_name': 'AtaqueMarketing', 'name': 'Ataque Marketing Esportivo', 'id': 121522082, 'id_str': '121522082', 'indices': [22, 38]}], 'symbols': []}"
364,2021-05-10 16:05:05,"@vedovelli74 Nubank com certeza. Fácil, rápido e nunca me deu problema.",['Nubank'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'vedovelli74', 'name': 'Fabio Vedovelli', 'id': 1214613045986680839, 'id_str': '1214613045986680839', 'indices': [0, 12]}], 'symbols': []}"
365,2021-05-10 16:05:05,"só me aparece calça jogger na shein, puta que pariu, que coisa feia",['SHEIN'],Manaus,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
366,2021-05-10 16:05:20,"@patrickallan @TiroDiCanto Ou melhor, o grupo Nike com 7 clubes e adidas com 6",['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'patrickallan', 'name': 'Patrick Menin', 'id': 133537628, 'id_str': '133537628', 'indices': [0, 13]}, {'screen_name': 'TiroDiCanto', 'name': 'Tiro de Canto', 'id': 820686384302268416, 'id_str': '820686384302268416', 'indices': [14, 26]}], 'symbols': []}"
367,2021-05-10 16:05:25,"@aoi_kawai_ não mas ja tive o menino perfeito, q usa roupa de time tênis da nike, agr sou eboy",['Nike'],No seu armário,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'aoi_kawai_', 'name': 'ᨳ𝚊𝚘𝚒 𝚔𝚊𝚠𝚊𝚒 || 𝑪𝒆𝒐 𝒐𝒇 𝑺𝒉𝒐𝒕𝒐', 'id': 1267612918696329218, 'id_str': '1267612918696329218', 'indices': [0, 11]}], 'symbols': []}"
368,2021-05-10 16:05:30,"@oskyure Nubank tá chato com algumas chaves, eu só consigo com telefone e CPF",['Nubank'],"Imperatriz, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'oskyure', 'name': 'keerollen!!', 'id': 1298038495592628224, 'id_str': '1298038495592628224', 'indices': [0, 8]}], 'symbols': []}"
369,2021-05-10 16:05:35,"df vai receber mais 3 doses da vacina da nike, 5 da xiaomi e 18 da positivo","['Nike', 'Xiaomi']",None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
370,2021-05-10 16:05:37,"to saudável sim porra 
só tomei um copo de coca cola hoje mas tô saudável",['Coca cola'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
371,2021-05-10 16:05:37,@reporterlacerda Estranho é a nike com tão poucos clubes. Comodismo ou propostas ruins que ninguém quer!?,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'reporterlacerda', 'name': 'Carlos Lacerda', 'id': 152462302, 'id_str': '152462302', 'indices': [0, 16]}], 'symbols': []}"
